Key,en,es,ar,fr
image Path Required,Image path is required,Se requiere ruta de imagen,مسار الصورة مطلوب,Chemin de l'image requis
your Account Have Been Created,"Your account has been create Successfully, Welcome to wecard.","Su cuenta ha sido creada con éxito, bienvenido a wecard.",تم إنشاء حسابك بنجاح ، مرحبًا بك في wecard.,votre compte a été créé
view All,View All,Ver todo,عرض الكل,Voir tout
tentwentytwo,10/22,22/10,10/22,10/22
expiry Date,Expiry Date,Fecha de caducidad,تاريخ الانتهاء,date d'expiration
freeze Card,Freeze Card,Tarjeta congelada,بطاقة تجميد,geler la carte
availabe Blance,Availabe Balance,Balance de disponibilidad,توازن التوافر,disponible Blance
cvc,CVV / CVC,CVV / CVC,CVV / CVC,CVV / CVC
proceed,Proceed,Proceder,يتابع,procéder
deposit,Deposit,Depósito,إيداع,dépôt
zero00,0,0,0,0
deposit Method,Deposit Method,Método de depósito,طريقة الإيداع,Méthode de dépôt
entered Amount,Entered Amount,Cantidad ingresada,تم إدخال المبلغ,Montant saisi
enter Select City,Enter City,Entrar en la ciudad,أدخل المدينة,entrez Sélectionnez la ville
enter First Name,Enter First Name,Ingrese el nombre,أدخل الاسم الأول,entrez votre prénom
enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر,Entrer le nom de famille
select City,City,Ciudad,مدينة,Sélectionnez une ville
enter,Enter,Ingresar,يدخل,entrer
enter Old Password,Enter Old Password,Ingrese la contraseña antigua,أدخل كلمة المرور القديمة,entrez l'ancien mot de passe
enter New Password,Enter New Password,Ingrese nueva clave,أدخل كلمة مرور جديدة,Entrez un nouveau mot de passe
reset Password Details,Reset your password to get back access your dashboard again.,Restablezca su contraseña para volver a acceder a su tablero nuevamente.,أعد تعيين كلمة المرور الخاصة بك للحصول على العودة إلى لوحة القيادة مرة أخرى.,réinitialiser les détails du mot de passe
your Password Has Been,"Your password has been reset Successfully, Sign in again now.","Su contraseña se ha restablecido correctamente, inicie sesión nuevamente ahora.",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، وقم بتسجيل الدخول مرة أخرى الآن.,votre mot de passe a été
opps,Opss!!,OPSS !!,OPSS !!,OPSS !!
kyc Success Message,Your Kyc has been Submited Successfully,Tu KYC ha sido enviado con éxito,تم وضع KYC الخاص بك بنجاح,Message de réussite kyc
withdraw,Withdraw,Retirar,ينسحب,retirer
Preview,Preview,Avance,معاينة,Aperçu
amount Information,Amount Information,Cantidad de información,معلومات المبلغ,Informations sur le montant
transfer Fee,Transfer Fee:,Tarifa de transferencia:,رسوم التحويل:,frais de transfert
transfer Fees,Transfer Fee,Tarifa de transferencia,رسوم التحويل,frais de transfert
total Payable,Total Payable,Total a pagar,إجمالي الدفع,total à payer
confirm Send,Confirm Send,Confirmar enviar,تأكيد إرسال,confirmer Envoyer
your Money Withdraw Success,Your money has been withdraw Successfully. Thanks for using,Su dinero se ha retirado con éxito. Gracias por usar,لقد تم سحب أموالك بنجاح. شكرا لاستخدام,votre retrait d'argent réussi
transaction History,Transaction History,Historial de transacciones,تاريخ المعاملة,Historique des transactions
current Amount,Current Amount,Cantidad actual,القيمة الحالية,montant actuel
card Information,Card Information,Información de la tarjeta,معلومات البطاقة,Informations sur la carte
yes,Yes,Sí,نعم,Oui
no,no,No,لا,Non
your Money Added Succes,Your money has been deposit Successfully. Thanks for using,Su dinero se ha depositado con éxito. Gracias por usar,لقد تم إيداع أموالك بنجاح. شكرا لاستخدام,votre argent a ajouté du succès
your Card Success,"Your card has been create Successfully, Thanks for using .","Su tarjeta se ha creado con éxito, gracias por usar.",لقد تم إنشاء بطاقتك بنجاح ، شكرًا لاستخدامها.,le succès de votre carte
add Money Successfully,"Your fund has been add Successfully,Thanks for using","Su fondo ha sido agregado con éxito, gracias por usar",تمت إضافة صندوقك بنجاح ، شكرًا على استخدامه,ajouter de l'argent avec succès
plz Enter Amount,Please enter amount,Ingrese la cantidad,الرجاء إدخال المبلغ,s'il vous plaît entrez le montant
no Record Found,No Record Found!,¡Ningún record fue encontrado!,لا يوجد سجلات!,Aucun Enregistrement Trouvé
pending,Pending,Pendiente,قيد الانتظار,en attente
Verified,Verified,Verificado,تم التحقق,vérifié
total Fee,Total Fee,Costo total,مجموع الرسوم,montant total
you Don Not Buy Card,"You didnt purchase any card yet, Please purchase a new card","Aún no compró ninguna tarjeta, compre una nueva tarjeta.",لم تشتري أي بطاقة بعد ، يرجى شراء بطاقة جديدة,vous n'achetez pas de carte
currency,Currency,Divisa,عملة,devise
brand,Brand,Marca,ماركة,marque
remove Default,Remove Default,Eliminar predeterminado,إزالة الافتراضي,supprimer la valeur par défaut
virtual,Virtual Card,Tarjeta virtual,بطاقة افتراضية,virtuel
reveal Details,Reveal Details,Revelar detalles,الكشف عن التفاصيل,révéler les détails
you Can Use Virtual Card Instantly,You can use virtual cards instantly.,Puedes usar tarjetas virtuales al instante.,يمكنك استخدام البطاقات الافتراضية على الفور.,vous pouvez utiliser la carte virtuelle instantanément
money Transfer,Money Transfer,Transferencia de dinero,تحويل المال,transfert d'argent
please Fill The Amount,Please fill the amount,Por favor llene la cantidad,يرجى ملء المبلغ,veuillez remplir le montant
please Follow The Limit,Please! Follow the Limit.,¡Por favor! Sigue el límite.,لو سمحت! اتبع الحد.,"s'il vous plaît, suivez la limite"
receiver Email,Receiver Email,Correo electrónico del receptor,البريد الإلكتروني المتلقي,E-mail du destinataire
screenshot,Screenshot,Captura de pantalla,لقطة شاشة,capture d'écran
enter Receiver Email Address,Enter Receiver Email Address,Ingrese la dirección de correo electrónico del receptor,أدخل عنوان البريد الإلكتروني للمستقبل,entrez l'adresse e-mail du destinataire
transfer Success Text,"Your money has been transfer Successfully, Thanks for using wecard.","Su dinero ha sido transferido con éxito, gracias por usar wecard.",تم تحويل أموالك بنجاح ، شكرًا لاستخدام البطاقة.,transférer le texte de réussite
success Snack,Success,Éxito,نجاح,Succès Snack
dismiss,Dismiss,Despedir,رفض,rejeter
Transfer Money,Transfer Money,Transferir dinero,تحويل أموال,Transférer de l'argent
add Subtract Balance,Add Subtract Balance,Agregar balance de restos,أضف توازن طرح,ajouter Soustraire le solde
visa,VISA,VISA,VISA,VISA
my Wallet,My Wallet,Mi billetera,محفظتى,mon portefeuille
evidence Note,Evidence Note,Nota de evidencia,ملاحظة الأدلة,preuve Remarque
razorpay Payment,Razorpay Payment,Pago de Razorpay,دفعة Razorpay,paiement par rasoir
flutterwave Payment,Flutterwave Payment,Pago de FlutterWave,مدفوعات الرفرفة,Paiement Flutterwave
sslcommerz Payment,Sslcommerz Payment,Pago de sslcommerz,دفع SSLCommerz,Paiement SSLCommerz
password,Password,Contraseña,كلمة المرور,mot de passe
First Name,First Name,Nombre de pila,الاسم الأول,prénom
Last Name,Last Name,Apellido,اسم العائلة,nom de famille
House Number,House Number,Número de casa,رقم المنزل,numéro de maison
id Number,ID Number,Número de identificación,رقم الهوية,Numéro d'identification
Customer Email,Customer Email,Correo electrónico del cliente,البريد الإلكتروني العميل,email client
Date Of Birth,Date Of Birth,Fecha de nacimiento,تاريخ الميلاد,date de naissance
Enter House Number,Enter House Number,Ingrese el número de la casa,أدخل رقم المنزل,entrez le numéro de la maison
Enter Date Of Birth,Enter Date Of Birth,Ingrese fecha de nacimiento,أدخل تاريخ الميلاد,entrer date de naissance
Enter Customer Email,Enter Customer Email,Ingrese el correo electrónico del cliente,أدخل البريد الإلكتروني للعميل,entrez l'e-mail du client
enter Line1,Enter Line1,Ingrese la línea1,أدخل الخط 1,entrez la ligne 1
enter Phone Number,Enter Phone Number,Ingresa número telefónico,أدخل رقم الهاتف,entrez le numéro de téléphone
enter ID Number,Enter ID Number,Ingrese el número de identificación,أدخل رقم المعرف,entrez le numéro d'identification
Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,"Your KYC information has been submitted successfully. Kindly await confirmation, which is expected within 24 hours. Please note, for the approval of your account, it is essential to log in to your profile and furnish accurate information, including your personal photo , your phone number and your address …","Your KYC information has been submitted successfully. Kindly await confirmation, which is expected within 24 hours. Please note, for the approval of your account, it is essential to log in to your profile and furnish accurate information, including your personal photo , your phone number and your address …",لقد تم إرسال معلومات KYC الخاصة بك بنجاح. برجاء انتظار التأكيد، المتوقع خلال 24 ساعة. يرجى ملاحظة أنه من أجل الموافقة على حسابك، من الضروري تسجيل الدخول إلى ملفك الشخصي وتقديم معلومات دقيقة، بما في ذلك صورتك الشخصية ورقم هاتفك وعنوانك ...,"Vos informations KYC ont été soumises avec succès. Veuillez attendre la confirmation, qui est attendue dans les 24 heures. Attention, pour l’approbation de votre compte, il est indispensable de vous connecter à votre profil et de fournir des informations précises, notamment votre photo personnelle, votre numéro de téléphone et votre adresse…"
"Please wait before admin approved your kyc information
","Your account is restricted until your KYC is approved.
","Your account is restricted until your KYC is approved.
",حسابك مقيد حتى تتم الموافقة على KYC الخاص بك.,Votre compte est restreint jusqu'à ce que votre KYC soit approuvé.
Transaction ID,Transaction ID,Transaction ID,رقم المعاملة,identifiant de transaction
Transfer Money from,Transfer Money from,Transfer Money from,تحويل الأموال من,Transférer de l'argent depuis
Add Balance via,Add Balance via,Add Balance via,إضافة رصيد عبر,Ajouter un solde via
Time & Date,Time & Date,Time & Date,الوقت والتاريخ,Heure Date
"Add Money Log
",Add Money Log,Add Money Log,إضافة سجل الأموال,Ajouter un journal d'argent
Transactions,Transactions,Transactions,المعاملات,Transactions
"Help Center
",Help Center,Help Center,مركز المساعدة,Centre d'aide
No data found!,No data found!,No data found!,لاتوجد بيانات!,Aucune donnée disponible!
Last Replied,Last Replied,Last Replied,آخر رد,Dernière réponse
Charge,Charge,Charge,تكلفة,Charge
Please follow the maximum limit,Please follow the maximum limit,Please follow the maximum limit,يرجى اتباع الحد الأقصى,Veuillez respecter la limite maximale
Payment Information,Payment Information,Payment Information,معلومات الدفع,Informations de paiement
Manual Payment Via,Manual Payment Via,Manual Payment Via,الدفع يدوي عبر,Paiement manuel via
New Password,New Password,New Password,كلمة المرور الجديدة,nouveau mot de passe
Confirm Password,Confirm Password,Confirm Password,تأكيد كلمة المرور,Confirmez le mot de passe
Delete Account,Delete Account,Delete Account,حذف الحساب,Supprimer le compte
"User doesn't exists.
",User doesn't exists.,User doesn't exists.,المستخدم غير موجود.,L'utilisateur n'existe pas.
Recipient Received,Recipient Received,Recipient Received,تم استلام المستلم,Destinataire reçu
Confirm Payment,Confirm Payment,Confirm Payment,تأكيد الدفع,Confirmer le paiement
"Notification
",Notification,Notification,إشعار,Notification
Your Add Money request send to,Your Add Money request send to,Your Add Money request send to,أرسل طلب إضافة الأموال الخاص بك إلى,Votre demande d'ajout d'argent est envoyée à
successful,successful,successful,ناجح,réussi
"Add Money
",Add Money,Add Money,إضافة المال,Ajouter de l'argent
Transfer Money to,Transfer Money to,Transfer Money to,تحويل الأموال إلى,Transférer de l'argent vers
Rejected,Rejected,Rejected,مرفوض,Rejeté
Rejection Reason,Rejection Reason,Rejection Reason,سبب الرفض,Motif du rejet
Decline,Decline,Decline,انخفاض,Déclin
Allow,Allow,Allow,يسمح,Permettre
"Ex: Transaction, Add Money
","Ex: Transaction, Add Money
","Ex: Transaction, Add Money",على سبيل المثال: المعاملة، إضافة المال,"Ex : Transaction, Ajouter de l'argent"
How can we help you?,How can we help you?,como podemos ayudarte?,كيف يمكننا مساعدتك؟,Comment pouvons-nous vous aider?
Add Money Log,Add Money Log,Agregar registro de dinero,أضف سجل الأموال,Ajouter un journal d'argent
No Record Found!,No Record Found!,¡Ningún record fue encontrado!,لا يوجد سجلات!,Aucun Enregistrement Trouvé!
Withdraw Money Log,Withdraw Money Log,Retirar el registro de dinero,سحب سجل الأموال,Retirer le journal de l'argent
Transaction,Transaction,Transacción,عملية,Transaction
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة,Ajouter un nouveau billet
Message,Message,Mensaje,رسالة,Message
Attachments,Attachments,Archivos adjuntos,المرفقات,Attachements
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك,Êtes-vous sûr de
Customer Reviews,Customer Reviews,Opiniones de los usuarios,آراء العملاء,Avis des clients
Name,Name,Nombre,اسم,Nom
Mobile Number,Mobile Number,Número de teléfono móvil,رقم الهاتف المحمول,Numéro de portable
Enter Name,Enter Name,Ingrese su nombre,أدخل الاسم,Entrez le nom
Enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني,Entrez le courrier électronique
Enter Subject,Enter Subject,Entrar en el sujeto,أدخل الموضوع,Entrer le sujet
Write Here,Write Here,Escribe aquí,اكتب هنا,Écrivez ici
Send Message,Send Message,Enviar mensaje,أرسل رسالة,Envoyer le message
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Vous n'avez pas de compte?
I have agreed with,I have agreed with,He estado de acuerdo con,لقد وافقت مع,Je suis d'accord avec
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية,Conditions d'utilisation et politique de confidentialité
Add Card,Add Card,Agregar tarjeta,إضافة بطاقة,Ajouter une carte
Line 1,Line 1,Línea 1,خط 1,Ligne 1
applPassword,applPassword,Appl Word,ApplPassword,applpassword
applForgetPassword,applForgetPassword,ApplForgetPassword,appforgepspassword,applForgetPassword
